classification,group,server_path,size,sha256,git_path,reason
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/canonical_smoke/smoke_steps.jsonl,66786,17bd19b527f70e0ab39b70b04f1b6f0f6f3e0a99a2915dfebd8c56f0e2dcca56,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/canonical_smoke/smoke_steps.jsonl,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/canonical_smoke/stop_legality_alignment.json,1660,346f2d6bd4d45b782c100051de6fa8576513f88e5ac550f14cc52b403efbac7e,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/canonical_smoke/stop_legality_alignment.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/checkpoint_integrity_report.json,1403,f5c26b7e5915e104bedd96c0311aba180c8fe3831f515f776fef4b7c14c37f72,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/checkpoint_integrity_report.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/checkpoint_integrity_report.md,868,626ccad78ff3b0de903a69da0565424b52ece1dd6c8054fe2d339ca85a32918b,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/checkpoint_integrity_report.md,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/command.txt,2272,7baf636b58327b87c359c1d2fb9e9d15ec9c0c69030887b8ace26dbf298d4a22,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/diagnostic_action_history_launcher_analysis.md,1957,0fa0036c7c7aeaf2f23df19ba66f49c32bae5c764dde479236490f4c4d5bf42e,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/diagnostic_action_history_launcher_analysis.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/end_training_lineage.md,2965,1bcf37b66c9b1a0bb4e1b4dc8efaa22e2c4a25e1ed272a9bbe6826a7203acea3,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/end_training_lineage.md,Small historical report or structured evidence absent from GitHub.
DO_NOT_SHARE_CONTROL,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/environment.txt,796,5b1aebb0fc791c7e8239f4b0fe323384bcba8cb6b16ee52052218f604ab19dcf,,"Runtime code/launcher, environment dump, or ephemeral process state; excluded from shared control plane."
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/forward_topology_audit.json,10593,f77370b79b3035e3e55c6063ed664ced339128bbadbe680a75a3e41aadcf6697,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/forward_topology_audit.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/forward_topology_audit.pre_final.json,6396,11e644021ba6f4842a851a7138c686c3c060107d6cd19ad40301e2cb24580532,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/forward_topology_audit.pre_final.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/forward_topology_report.md,907,b2feccb00e9be6c484031ebd61ba4d57799e3caf416ca18bc0669ce556059334,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/forward_topology_report.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/gate_review.md,5926,4916caa72239bfc0d9c7e6aaf0e50dd58ded82201473dbb3127dd8967bb9419f,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/gate_review.md,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/git_status.pre_final.txt,779,a8e8058526c5c95ff3fe99b4aba3c33f84131f81141773f79c40205203c43b5d,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
PATH_HASH_ONLY,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/git_status.txt,20115,7929d5355bdcff6afb6a9f1f9dfd2e97f86bb4482916646303d8d66c20ee484f,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/metric_calculation_audit.md,2123,16638b7afc8c8b38c00b8cd662d7c21a0491a802982d9e73ae74a79f821dfb37,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/metric_calculation_audit.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/reset_state_audit.json,9886,afb4b728fc1568ef3c57c5e75168aaa49624b6bdf5f33213e5f5991041dd8650,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/reset_state_audit.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/reset_state_report.md,2182,12ad71132aa51272731aadcb56a5fea678740a9016d7c439e98bf1e2a087996c,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/reset_state_report.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/reset_two_episode/forward_topology_audit.json,15725,9d34845d9b844c597b5f12fddef45bfd4a010adaddf32aaac977532c5fb946bc,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/reset_two_episode/forward_topology_audit.json,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/reset_two_episode/launcher.log,53265,06d8b084162f1918bf0a7e1e6f1ad6238756ba2505599fc36b55238eb6ecadfc,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/reset_two_episode/reset_state_audit.json,6464,e90d4b03b6b882f65ad69436a50e509ba35f07cc741a1d4480ac8a833641353c,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/reset_two_episode/reset_state_audit.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/reset_two_episode/reset_transition_summary.json,4213,c274847a5e031f531725dff89573d303831a6abd23f2030185eeac44b8fd09f2,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/reset_two_episode/reset_transition_summary.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/reset_two_episode/smoke_steps.jsonl,164075,1452d1c2623e50ab25664ff749b2f6a0e593f2f17da995ef24b1cce172c3c71e,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/reset_two_episode/smoke_steps.jsonl,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/reset_two_episode/stop_legality_alignment.json,1508,cd5d9899700ad32c3baf16418946965902e6780c3e890c4ecb9f54cf445addb1,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/reset_two_episode/stop_legality_alignment.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/runtime_manifest.json,4231,94ebe5dc130785141dc16b025e85c97b26771a14a6c0701040c97ccc9781d848,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/runtime_manifest.json,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/sha256sums.txt,4354,e039fcbc082a9ff4e346a955007e0a1aaa4a8dd94923fa2e976a1409352353c6,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/smoke_episode_analysis.md,2047,0cddeb1cac972f35769face5b535da3bdbd3dfbdf1937276b352ca2c9b07f063,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/smoke_episode_analysis.md,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/smoke_launcher.log,682,546a3d9f45a57e922f4a87bd3f6115b0b8a3591f086a97d0d3866d76d42e82f9,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
DO_NOT_SHARE_CONTROL,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/smoke_launcher.pid,8,7f9282fd2c1f2cdf041b52e4dce92b592eb145ca294264c2f953e561f283e8a5,,"Runtime code/launcher, environment dump, or ephemeral process state; excluded from shared control plane."
PATH_HASH_ONLY,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/smoke_launcher_attempt2.log,691,d008f45ef423b302ba0a7559c14a237fae750c330c0e04e2f4d03319dc5645b0,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
DO_NOT_SHARE_CONTROL,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/smoke_launcher_attempt2.pid,8,83733b61d3f6ee7b0a1f32b700e36dbf5fc97cadb31e8fb98e430f1b6090ef2d,,"Runtime code/launcher, environment dump, or ephemeral process state; excluded from shared control plane."
PATH_HASH_ONLY,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/smoke_launcher_attempt3.log,52916,d21c65eded6c8f958a361054c012986aa23c42504dbfcfcb12d2467357e61083,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/smoke_steps.jsonl,42223,2a352d71a055492219af122200d99b7793f5de677195945eb5a6222ada5f5c68,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/smoke_steps.jsonl,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/stop_legality_alignment.json,2561,38a7903f1c906652a23b2fe8d60de94e9d0238515239d9b0265f524a7d39bdd6,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/stop_legality_alignment.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/stop_legality_alignment.md,1000,66e4f0230332f47f2e2b6816012831f80ed3e4aaaf252edccb62318f2365b21a,research/history/evidence-alignment-20260919/legacy_development/diagnostics/end_causal_audit/stop_legality_alignment.md,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/working_tree.patch,37066,671e43a466528fbe11aa97e9ea8a782f92119f7d3b3db0b077e1a4f811cb7010,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
PATH_HASH_ONLY,diagnostics/end_causal_audit,/nvme2/user/qyy/SafeVLA/diagnostics/end_causal_audit/working_tree.pre_final.patch,36300,6f5c3a6d268155bb39d4ce53254485177e508ad7d35a99edb976ad75869889d0,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/B0_CANDIDATE_AUDIT.md,16914,ea36b5774fcce9579628a8e3d32649e1f7b169f043e96d2fa3f7fd4826779ac2,research/history/evidence-alignment-20260919/legacy_development/research/B0_CANDIDATE_AUDIT.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/CURRENT_STATE.md,6135,64083f6e5eb2ff7e06b4df6330e4baaefc3cedac46f92c5a25c3b18d8ebb5965,research/history/evidence-alignment-20260919/legacy_development/research/CURRENT_STATE.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/DECISION_LOG.md,6595,ab9d4cd9a906cc7dd69a7c4491d6f5206c8519d1de2eb46ce8b4f3636057fcc5,research/history/evidence-alignment-20260919/legacy_development/research/DECISION_LOG.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/EXPERIMENT_REGISTER.md,4407,2fe88ebed1379b8f819a24fb24b83ae434c01044302b25128694f6898e1fa3eb,research/history/evidence-alignment-20260919/legacy_development/research/EXPERIMENT_REGISTER.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/before_CURRENT_STATE.md,4245,4316e096fa2eb06e80f284cce1e6c5a756b85ba00589c06b0f32202cb20c5c74,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/before_CURRENT_STATE.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/before_DECISION_LOG.md,3254,78a2fce7343f6ae56c10d1769c0d1641c22fe976f45c4b9e46dce3900a201809,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/before_DECISION_LOG.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/before_EXPERIMENT_REGISTER.md,2010,d817e4fd3a64ef6596e6ebd3605caee17197f329ab5b70f6e5ece2d5e5f1f065,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/before_EXPERIMENT_REGISTER.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/before_NEXT_EXPERIMENT.md,4058,7b130f716afaeed880480e7c207314aa70cc3115d51668f5514e560a027ef175,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/before_NEXT_EXPERIMENT.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/candidate_additions.json,103,c5672e88d6be0bdc5285f2a6394bd1a660d211995417fb7627346dcbdef12c46,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/candidate_additions.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/candidate_identity.json,952,1bd219e2b9efba6002f435e12c577d6aebdd13a6187af90a87f1634a39be8ab4,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/candidate_identity.json,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/candidate_status.txt,92,6e5957bb6491c2ea3f8024379d62c5522dddb2c7fef10901dda6fed2e5c126d1,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/development_before_sha256.json,18784,32485fb65c307645435b8b085dcda983834c981f281bff06ef7b7863b27dfaae,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/development_before_sha256.json,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/development_diff.patch,19363,f69354e479fdc1f7ad78ab0f30f5ee57e5b4b50a3cbfff2c53e5f69792d7599b,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
PATH_HASH_ONLY,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/development_head.txt,41,123cd5355d066d90f4722ba9c5f07ea548f4357fd6adb4e1660f90cc8abf1873,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
PATH_HASH_ONLY,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/development_status.after.txt,335,85e81f88b548b7ef74899ea5723948b97c5d0112ecf9ed3449e53288d4284ad4,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
PATH_HASH_ONLY,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/development_status.before.txt,335,85e81f88b548b7ef74899ea5723948b97c5d0112ecf9ed3449e53288d4284ad4,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/dino_source_sha256.json,17530,938adc4db85a4e967f14479d62713c5495cc6cee01947413f9b5f89c085613b8,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/dino_source_sha256.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/final_validation.json,558,fd9cc40ca7fb487c7a530e4e12b22c49a6737c8e555f9259c54cfc555253ffd5,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/final_validation.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/official_commit_api.json,4764,f917fc27d58b6a42f299986cce54cf98e2858a3015057d1cd58d53f20b30de85,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/official_commit_api.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/official_file_comparison.json,18558,05233072cd038fde57bdbfbe77109039b6e009e59e1d8a37363b50caf39b016a,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/official_file_comparison.json,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/patch_reverse_check.txt,53,68a61febe2b4589626e2e9deeac22a44ceaed8cc5ac334dd6dac083b97dffe56,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/python_pth_static.json,332,751bef48895f0353f5ce5b1edaa409f6f1ce0f65641f7987110c96b02170a559,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/python_pth_static.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/reference_README.md,10405,c978f128536988c7f8d48de0e5a5e96b02f8fd6df20c1aca7c8e408ed5964f10,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/reference_README.md,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/reference_commit_object.txt,1081,f26fd7c4f19a60a553e186734a2ae14e9b71446f2b03d1cb177cb342efc49442,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/resource_identity.json,1657,c65bda4d2135550bca06910dffbfc300b0dd442263940938a7cef90bcd52cdad,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/resource_identity.json,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/smoke_plan_NOT_AUTHORIZED.json,1054,00ef20595d3e7d1fbc39762a5887fc805c37869a8443fe33125ac11ea0375cf5,research/history/evidence-alignment-20260919/legacy_development/research/b0_candidate_audit/smoke_plan_NOT_AUTHORIZED.json,Small historical report or structured evidence absent from GitHub.
PATH_HASH_ONLY,research,/nvme2/user/qyy/SafeVLA/research/b0_candidate_audit/worktree_creation.txt,129,518d7f9e09087a821e59a9aa9e73b1094aeac1f6c54913c09a97040fdd279cef,,"Raw runtime artifact, patch, binary, or log; retain original server bytes."
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/runs/EXP-B0-REPRO-001A/execution_20260912/after_CURRENT_STATE.md,6135,64083f6e5eb2ff7e06b4df6330e4baaefc3cedac46f92c5a25c3b18d8ebb5965,research/history/evidence-alignment-20260919/legacy_development/research/runs/EXP-B0-REPRO-001A/execution_20260912/after_CURRENT_STATE.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/runs/EXP-B0-REPRO-001A/execution_20260912/after_DECISION_LOG.md,6595,ab9d4cd9a906cc7dd69a7c4491d6f5206c8519d1de2eb46ce8b4f3636057fcc5,research/history/evidence-alignment-20260919/legacy_development/research/runs/EXP-B0-REPRO-001A/execution_20260912/after_DECISION_LOG.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/runs/EXP-B0-REPRO-001A/execution_20260912/after_EXPERIMENT_REGISTER.md,4407,2fe88ebed1379b8f819a24fb24b83ae434c01044302b25128694f6898e1fa3eb,research/history/evidence-alignment-20260919/legacy_development/research/runs/EXP-B0-REPRO-001A/execution_20260912/after_EXPERIMENT_REGISTER.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/runs/EXP-B0-REPRO-001A/execution_20260912/before_BASELINE_CONTRACT.md,3665,cc5cf1990812c63841a10423317d8f2e653c22357a5e21bbf5c4b2f859ab16d4,research/history/evidence-alignment-20260919/legacy_development/research/runs/EXP-B0-REPRO-001A/execution_20260912/before_BASELINE_CONTRACT.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/runs/EXP-B0-REPRO-001A/execution_20260912/before_CURRENT_STATE.md,4814,f596253530be9ec8c13c918dfae1d02acfc9732bba17912b049f0db99f5500a4,research/history/evidence-alignment-20260919/legacy_development/research/runs/EXP-B0-REPRO-001A/execution_20260912/before_CURRENT_STATE.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/runs/EXP-B0-REPRO-001A/execution_20260912/before_DECISION_LOG.md,3958,49f74a526a3fcedea82788d60430d48c6022a40f6e4af5a2547e1cb6da45f26a,research/history/evidence-alignment-20260919/legacy_development/research/runs/EXP-B0-REPRO-001A/execution_20260912/before_DECISION_LOG.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/runs/EXP-B0-REPRO-001A/execution_20260912/before_EXPERIMENT_REGISTER.md,2506,f2c10bfe20063d0c8cbcb8a832938c3238783786c8cd2675121ba54c4f7aca0e,research/history/evidence-alignment-20260919/legacy_development/research/runs/EXP-B0-REPRO-001A/execution_20260912/before_EXPERIMENT_REGISTER.md,Small historical report or structured evidence absent from GitHub.
MUST_GIT,research,/nvme2/user/qyy/SafeVLA/research/runs/EXP-B0-REPRO-001A/execution_20260912/before_NEXT_EXPERIMENT.md,4373,4afb29ea7ccc8547a9b34504f46557010a87323e258c1dab07ae07f4bf442017,research/history/evidence-alignment-20260919/legacy_development/research/runs/EXP-B0-REPRO-001A/execution_20260912/before_NEXT_EXPERIMENT.md,Small historical report or structured evidence absent from GitHub.
